,A,group,Observed Y,distance,model,run_number
134,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7682130086506134,"$X_2, Z_{A'}$",3
135,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7388764462333293,"$X_2, Z_{A'}$",3
136,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8541365841453663,"$X_2, Z_{A'}$",4
137,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6638629575211876,"$X_2, Z_{A'}$",4
138,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8804435453411976,"$X_2, Z_{A'}$",4
139,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.713734980188181,"$X_2, Z_{A'}$",4
140,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8347893230329673,"$X_2, Z_{A'}$",5
141,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.49835373255394,"$X_2, Z_{A'}$",5
142,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9091328288608813,"$X_2, Z_{A'}$",5
143,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.825971040108944,"$X_2, Z_{A'}$",5
144,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7577156255929216,"$X_2, Z_{A'}$",6
145,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6495110954596894,"$X_2, Z_{A'}$",6
146,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9127005409785234,"$X_2, Z_{A'}$",6
147,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.766990607713969,"$X_2, Z_{A'}$",6
148,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.909885868993187,"$X_2, Z_{A'}$",7
149,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.706034229674625,"$X_2, Z_{A'}$",7
150,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8093724721694606,"$X_2, Z_{A'}$",7
151,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6623974126677625,"$X_2, Z_{A'}$",7
152,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.774274492395134,"$X_2, Z_{A'}$",8
153,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.585405293629022,"$X_2, Z_{A'}$",8
154,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9336982344069797,"$X_2, Z_{A'}$",8
155,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.797104435561264,"$X_2, Z_{A'}$",8
156,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.9564397189262364,"$X_2, Z_{A'}$",9
157,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.672513759207566,"$X_2, Z_{A'}$",9
158,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.837625468784801,"$X_2, Z_{A'}$",9
159,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.549126237154379,"$X_2, Z_{A'}$",9
160,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3898668736383035,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
